,JobRole,Skills
62,"Data Scientist, Machine Learning","Data scientist, GCP, Data science, Machine Learning, Python, Matplotlib, Pandas, Numbpy"
63,Data Analyst _Goa_Fresher/Experienced,"Data Analytics, Data Science, Data Analysis, Data, Science, Analytics, Analysis"
64,Business Analyst,"Business Analyst, Business Intelligence, Business Reporting, Business Analytics, Report, Data Analysis, Business Insights, Dashboarding"
65,Data Analyst (freelancer / consultant),"snowflake, python, data analysis, data analytics, oracle, power bi, business analysis, data warehousing"
66,Data Analyst - Qliksense,"PLSQL, Qliksense, Business Intelligence, Power Bi, Data Analytics, Oracle, Google Cloud Platforms, SQL"
67,Data Analyst (Tamil/ English),"excelgoogle apps script, data analytics, writingdata science, communication skills, statistics, Application, Scripting, Science"
68,Data Engineer,"data analytics, gcp, pythonsql, machine learningdata modeling, artificial intelligence, Data, Analytics, Intelligence"
69,Data Engineer (Position Closed),"tableau, Machine learning, data governance, power bi, data integrity, Data analytics, Business intelligence, SQL"
70,Data Scientist - Statistical Modeling (Immediate joiners),"Data Science, Statistical Modeling, Python, Predictive Modeling, Logistic Regression, Modeling, Science, Logistics"
71,Data Scientist,"NLP, Machine Learning, Deep Learning, Pytorch, Theano, Pyspark, data science, Azure Databricks"
72,Data Scientist,"Data Science, NLP, Data Scientist, Artificial Intelligence, Machine Learning, Predictive Analytics, Python, Science"
73,Data Scientist,"r, data analysis, modeling, data science, predictive modeling, machine learning, programming, communication skills"
74,Data Scientist,"Data Science, Deep Learning, Python, Tensorflow, Natural Language Processing, Computer Vision, Machine Learning, Scikit-Learn"
75,Data scientist & Generative AI,"Generative AI, Data science, cloud, Gen AI, Azure, NLP, ML and LLM, AWS"
76,Data Scientist,"Computer science, deep learning, data science, Neural networks, Analytical, Machine learning, power bi, Natural language processing"
77,"Immediate Requirement For Data Scientist,Noida","Data Science, AI/ML, Generative AI, Python, SQL, Artificial Intelligence, Requirements, Data"
78,Data Scientist (Gen AI),"Data Science, Gen AI, NLP, RAG, LLM, Llama, Langchain, Lora"
79,Data Scientist,"C++, data science, Analytical, Machine learning, Cloud, microsoft, Business intelligence, Forecasting"
80,Data Scientist,"C++, data science, Analytical, Machine learning, Hadoop, microsoft, Business intelligence, Forecasting"
81,Data Scientist,"Computer vision, deep learning, Simulation, data science, Neural networks, Machine learning, Hypothesis Testing, Telematics"
82,Data Scientist with GCP Cloud,"Data Science, GCP, Natural Language Processing, Aws Sagemaker, Aiml, Computer Vision, Machine Learning, Deep Learning"
83,Gen AI Data Scientist - Pan India,"Generative AI, GEN AI, Data Science, Predictive Modeling, Natural Language Processing, Neural Networks, Machine Learning, Deep Learning"
84,Data Scientist,"Data Science, R, Azure Data Lake, Machine Learning, Python, ETL, Azure Data Factory, Machine"
85,Data Scientist,"Data Science, Statistical Modeling, Predictive Modeling, Decision Tree, Advanced Analytics, Random Forest, Predictive, Modeling"
86,Data Analyst,"Excel, Data Management, Data Analysis, Advanced Excel, Data Analytics, Management, Analytics, Analysis"
87,Data Analyst - Looker,"data visualization, BigQuery, Power BI, Data Analyst, Data Modeling, Data Warehousing, Data Analytics, Looker"
88,Data Exposure Analyst,"insurance, data analytics, data analysis, modeling, vba, data processing, property, sql"
89,Data Engineer,"excel, python, tableau, data analytics, data pipeline, data visualization, data engineering, statistics"
90,Data Exposure Analyst,"insurance, data analytics, data analysis, modeling, vba, data processing, property, sql"
91,Data Engineer,"Etl Development, Data Engineering, Power Bi, Data Extraction, Data Pipeline, MySQL, Snowflake, Data Architecture"
92,Data Analyst,"Power Bi Reports, Data Analytics, Data Reporting, Business Intelligence, Data Analysis, SQL Database, Data Visualization, Dashboard Development"
93,Data Analyst(English Required),"Data Analysis, English, Data Analytics, Data Mapping, Mapping, Analysis, Analytics, Data"
94,Analyst,"r, python, tableau, data analytics, application, vba, power bi, sql"
95,Data Scientist,"Data Science, risk assessment, Gen AI, R, data analysis, Python, Assessment, Artificial Intelligence"
96,Data Scientist,"Data Science, Data Mining, Data Visualization, Data Werehousing, Azure Data Factory, Power Bi, Storytelling, Azure Databricks"
97,Data Scientist - Diversity,"Data Science, Tensorflow, Machine Learning, NoSQL, MSSQL, Deep Learning, Data, SQL Server"
98,"Data Analyst, Optimization, - X Delivery","Supply chain, Operations research, Production planning, Consulting, Management consulting, Resource allocation, Packaging, Data analytics"
99,Data Analyst,"Data analysis, Artificial Intelligence, Machine learning, Mechanical, Data analytics, Data Analyst, Intelligence, Machine"
100,Trade DATA Analyst - FMCG MNC - Delhi,"data, Data Management, Data Analysis, Data Extraction, Data Collection, Data Analytics, data analyst, Food Products"
101,Trade DATA Analyst - FMCG MNC,"data, Data Management, Data Analysis, Data Extraction, Data Collection, Data Analytics, data analyst, Food Products"
102,Data analyst,"data cleansing, Steam turbine, Data management, Analytical, Data quality, Data analytics, Operations, Analytics"
103,Business Analyst - Dashboard Design,"Dashboard Design, Business Analyst, MIS, Data Mining, Tableau, Data Modeling, Data Analytics, Design"
104,"Data Analyst,  Greater Noida mail at devendra@cmp.co.in","Power Bi, Azure DataWarehouse, Data Analytics, Data warehousing, Analytics, Email, Data, Microsoft Azure"
105,Business analyst,"Advance excel, MIS reporting, data extraction, data analysis, data analytics, Data cleaning, dashboard reporting, data analyst"
106,M&A Analyst,"python, power bi, market research, research, microsoft office suite, financial analysis, capital iq, data analytics"
107,business analyst-GLBS,"Change management, Automation, Business Analyst, Manager Technology, Data analytics, Business process re-engineering, General management, Information technology"
108,Data Analyst (VBA),"Automation, power bi, Data Analyst, Data analytics, Data quality, Manager Quality Control, Business intelligence, Macros"
109,Data Analyst,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining"
110,Data Analyst,"Business administration, Data analysis, Data modeling, Analytical, Brand marketing, Data analytics, data visualization, Analytics"
111,Urgent Opening- EA & Business Analyst,"Executive Assistant, Business Analyst, Business Analytics, Data Analysis, Data Analytics, EA, Business Analysis, Analytics"
112,Business Analyst,"financial analysis, erp, data analysis, data analytics, presentation skills, business analysis, business analytics, analysis"
113,Data Analyst,"Computer science, Excel, Analytical, Data analytics, Data Analyst, Business intelligence, Powerpoint, Predictive analytics"
114,Data Analyst,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
115,Data Analyst,"Computer science, Data modeling, MIS, Machine learning, Data analytics, Data Analyst, data visualization, Analytics"
116,Analyst,"Mining, Health insurance, Data analysis, HP data protector, Analytical, Consulting, Data analytics, Business strategy"
117,Data Science and Data Scientist Trainer,"knowledge in python, Data Science, R, SQL, experience teaching, Python, Science, Training"
118,Data Scientist,"Python, Data Science, excel, Predictive Modeling, Algorithm Development, Analytics, Business Design, SQL"
119,Data Scientist,"python, Data Science, aws, Tableau, powerbi, Machine Learning, sql, r"
120,Data Scientist ( Azure ),"Data Science, SQL queries, Azure, PySpark, ETL processes, data solutions, Python, Process"
121,Data Scientist,"Data analysis, data science, Social media, Data collection, software quality, Analytics, SQL, Python"
122,Data Scientist,"Artificial Intelligence, Machine Learning, Automotive Infotainment, data scientist, Telematics, Tensorflow, Automation, GPS"
123,Data Scientist,"Data Science, Artificial Intelligence, Machine Learning, Python, Science, Intelligence, Machine, Data"
124,Data Scientist,"Data Science, R, Logistic Regression, SAS, Neural Networks, data warehousing, Random Forests, SQL"
125,GPSG-Data Scientist,"python, ibm cloud, machine learning, data science, machine learning algorithms, algorithms, scipy, natural language processing"
126,Data Scientist III,"Product engineering, Data analysis, data science, Networking, Coding, Analytical, Monitoring, Analytics"
127,Data Scientist,"Data Science, Tensorflow, Pytorch, generative ai, Image Processing, Natural Language Processing, Neural Networks, Computer Vision"
128,Data Scientist,"Generative AI, Data Science, AZURE, NLP, Python, Pyspark, Natural Language Processing, AI"
129,Data Scientist - Mortgage Finance,"Business process, Computer science, Back office, Data analytics, data visualization, Data mining, Powerpoint, Macros"
130,Group Audit - Data Scientist,"python, data analytics, confluence, data analysis, natural language processing, scikit-learn, openshift, jupyter notebook"
131,Data Scientist,"Data Science, Machine Learning, Deep Learning, SQL, Python, Science, Machine, Data"
132,Data Scientist: AI/ML Engineer,"multithreading, rest, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux"
133,Data Scientist: AI/ML Engineer,"multithreading, podman, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux"
134,Data Scientist: AI/ML Engineer,"multithreading, rest, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux"
135,Data Scientist: AI/ML Engineer,"multithreading, rest, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux"
136,Data Scientist,"Computer vision, deep learning, Machine learning, Shell scripting, Transformers, Data analytics, Mathematics, Statistics"
137,Data Scientist / Advanced Analytics - Machine Learning,"advanced analytics, deep learning, Artificial Intelligence, R Programming, Machine learning, Python, Data analytics, Intelligence"
138,Data Scientist,"Machine learning, business rules, Data analytics, data visualization, Research, SQL, Python, Rules"
139,Data Scientist,"big data analytics, Machine learning, linear regression, Data structures, Natural language processing, Predictive modeling, Pattern recognition, Data mining"
140,Data Analyst,"Data Analyst, Python, Data Analysis, Data Analytics, SQL, Analysis, Data, Analytics"
141,Hiring Data Scientist,"Data Science, ML, Salesforce, Python, AI, Einstein, Power Bi, Cloud Services"
142,Data Scientist,"software development, artificial intelligence, sql, tensorflow, machine learning algorithms, continuous integration, algorithms, python"
143,Data Scientist IV - Python/LLM,"Data Science, BigQuery, Data Scientist, Data Management, Jupyter, LLM, Python, Science"
144,Data Scientist,"Data Science, Predictive Modeling, Text Analytics, Natural Language Processing, Machine Learning, Deep Learning, Machine, Predictive"
145,Data Scientist,"Data Science, Predictive Modeling, Python, SQL, R, Data, Modeling, Predictive"
146,Data Scientist - Azure Data Factory/NLP Pipeline,"Azure Data Factory, Data Science, NLP Pipeline, NLP, CI/CD Pipeline, Data Scientist, Data Management, Time Series Forecasting"
147,Data Scientist - Machine Learning/APICS,"Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python"
148,Data Scientist - Python,"Python, Data Science, OpenCV, Data Scientist, Data Management, MATLAB, Machine Learning, Numpy"
149,"Immediate hiring For Data scientist - GEN AI 6+ Years - B'lore, Hybrid","GEN AI, Huggingface, Python Development, Data Science, Machine Learning, Deep Learning, Python, Machine"
150,Data Scientist,"Data Science, Pandas, Tableau, SQL, Python, Predictive Modeling, Power Bi, Natural Language Processing"
151,Data Scientist - Phd only,"Natural Language Processing, Phd, Deep Learning, Data Science, Languages, Data, Processing, Science"
152,Data Scientist,"C++, tableau, data science, Analytical, Machine learning, Hadoop, microsoft, Business intelligence"
153,Data Scientist,"Data analysis, data science, Machine learning, data governance, Market research, SPSS, Statistics, Analytics"
154,Data Scientist,"Artificial Intelligence, Data Science, Generative AI, Aiml, RAG, Python, Data, Science"
155,Data Scientist,"Data analysis, Usage, GIT, data science, Data modeling, data security, Machine learning, Troubleshooting"
156,Data Scientist,"Data Science, Machine Learning, Statistics, Data Bricks, Analytics, lead, Science, Bricks"
157,Data Scientist,"Machine learning, Statistics, Data Science, Python, Machine, Data, Science"
158,Data Scientist,"Data analysis, Usage, GIT, data science, Data modeling, data security, Machine learning, Troubleshooting"
159,Data Scientist,"Data Science, Data Scientist, Tensorflow, Azure, Data Engineering, Power Bi, Hadoop, Data Mining"
160,Data Scientist - R/Python,"Data Science, deep learning, R, NLP, data processing, MongoDB, machine learning, Python"
161,Data Scientist,"Marketing Analytics, Marketing Models, Data Science, Website Modelling, Web technologies, Analytics, Data, Modeling"
162,Data Scientist,"Data Science, MLOPS, Model Development, Python, SQL, Data, Science, Development"
163,Data Scientist,"Computer science, Data analysis, data science, SAS, Agile, Predictive modeling, Scrum, Analytics"
164,Data Scientist,"Computer science, Training, data science, Machine learning, Programming, Natural language processing, Research, Python"
165,Data Scientist,"Genesys, Data Science, software development, Docker, version control, CI/CD, RAG, ML models"
166,Data Scientist,"Azure Cloud, Natural Language Processing, Machine Learning, Deep Learning, Python, Data Science, Azure, R"
167,Data Scientist,"Data analysis, Statistical analysis, data science, Machine learning, Siemens, Programming, model development, Statistics"
168,Data Scientist - Machine Learning,"Computer science, Operations research, data science, Bfsi, Network analysis, Machine learning, Social networking, Natural language processing"
169,Data Scientist,"Data analysis, data science, Coding, Machine learning, SCALA, SPSS, Operations, Analytics"
170,Data Scientist,"Data analysis, Usage, GIT, data science, Data modeling, data security, Machine learning, Troubleshooting"
171,Data Scientist,"Data Science, Data Scientist, Machine Learning, Algorithm, Data, Machine, Science, Algorithms"
172,Data Scientist with LLM Background,"Statistical analysis, data science, Machine learning, Programming, Natural language processing, Research, Statistics, Python"
173,Data Scientist,"Computer science, Analytical skills, Data analysis, data science, Machine learning, Data quality, Natural language processing, data visualization"
174,Data Scientist,"Computer science, Cloud computing, Data analysis, data science, Neural networks, Artificial Intelligence, Machine learning, Signal processing"
175,Data Scientist,"Computer science, Cloud computing, Statistical analysis, data science, Analytical, Machine learning, Healthcare, data visualization"
176,Data Scientist,"Data analysis, Bidding, Linux, data science, Shell scripting, Mentor, Calculus, Analysis"
177,Data Scientist,"Computer vision, Marketing analytics, data science, Risk analytics, Analytical, Demand forecasting, Consulting, Natural language processing"
178,Data Scientist,"data science, Analytical, Machine learning, Data quality, Research, Quality, Machine, Data"
179,Data Scientist,"Computer science, Operations research, data science, GCP, Machine learning, SAGE, Data mining, AWS"
180,Data Scientist,"Computer science, data science, Analytical, Machine learning, Predictive modeling, data visualization, microsoft, SQL"
181,Data Scientist,"Machine Learning, Statistics, Data Science, Data Bricks, Analytics, Data, Bricks, Machine"
182,Data Analyst,"Data Management, Data Analysis, Data Extraction, Data Analytics, Data Mapping, Data Profiling, Data Cleansing, Data Processing"
183,Data Engineer,"information technology, data migration, data engineering, sql, etl process, python, analytics services, data analytics"
184,Business Analyst,"advanced analytics, business solutions, business analysis, computer system validation, information gathering, project management, data analysis, data analytics"
185,Data Engineer,"Computer science, NoSQL, Coding, spark, Debugging, Programming, Manager Technology, Data processing"
186,Senior Consultant (Big Data Analytics),"Data Science, Big Data Analytics, Python Data, Tableau, Five Tran, Python, Science, Senior"
187,Data Analyst,"Data Analysis, SQL, Data Analytics, Analysis, Data, Analytics"
188,Analyst,"investment banking, derivatives, investment banking operations, data analytics, trade support, corporate actions, Analysis, Investment"
189,Data Engineer,"data analytics, information technology, data engineering, sql, data modeling, data services, python, analytics services"
190,Data Engineer,"information technology, data warehousing, sql, data modeling, etl process, hive, python, data services"
191,Data Engineer,"data analytics, machine learning, machine learning algorithms, statistics, data munging, algorithms, system software, power bi"
192,Data Scientist,"Data Science, Predictive Modeling, NLP, Data Scientist, Natural Language Processing, Statistical Modeling, Time Series, Regression"
193,Data Scientist,"Data Science, Azure, Model Creation/ solution, Scikit-learn, NumPy, PyTorch, OpenCV, GCP"
194,Data Scientist,"Data Science, Azure, Model Creation/ solution, Scikit-learn, NumPy, PyTorch, OpenCV, GCP"
195,Data Scientist,"Data Science, Azure, Model Creation/ solution, Scikit-learn, NumPy, PyTorch, OpenCV, GCP"
196,Data Scientist / Data Analyst - Contract,"Python, DS, Data Science, Data Analysis, Web Development, Contracts, Web technologies, Analysis"
197,Data Scientist / Data Analyst,"AI, Python, ML, Data Science, Data Analysis, Artificial Intelligence, Data, Science"
198,Data Analyst - Python/Hadoop,"Data analysis, Data Validation, Data Integrity, BigQuery, Hadoop, Data Analyst, Spark, Data Analytics"
199,Data Analyst III,"Data analysis, Data Integrity, Data Analyst, Data Visualization Tools, Tableau, Data Analytics, Looker, III"
200,"Data Analyst (Role based in Riyadh, Saudi Arabia *Onsite*)","Power Bi, Tableau, SQL, Data Analysis, Python, Financial Analysis, SAS, Python Framework"
201,Data Analyst,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
202,Business Analyst,"ms dynamics crm, microsoft dynamics, data integration tools, data visualization, crm, python, data analytics, oracle"
203,"Data Eng, Mgmt & Governance Specialist","data management, microsoft azure, azure data factory, artificial intelligence, etl, python, data analysis, data analytics"
204,Data Analyst,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration"
205,Credit Risk Analytics,"Analytics, Predictive Modeling, Logistic Regression, Decision Tree, K-Means, Natural Language Processing, Credit Risk Modelling, Ml Algorithms"
206,Data Automation Analyst - ETL/Python,"ETL, Data Integrity, Data Pipeline, RDBMS, Statistical Modeling, Data Mining, Data Analyst, Data Warehousing"
207,L & D Trainer - Python & Data Science / Data Analytics,"Python, Data Science, SAS, IT Training, Training and Development, Data Analytics, Statistics, Machine Learning"
208,Finops Analyst,"Business services, Analyst, Report generation, Consulting, Cloud, Financial management, Data analytics, Cost analysis"
209,Finops Analyst,"Business services, Analyst, Report generation, Consulting, Cloud, Financial management, Data analytics, Saving"
210,Business Analyst | AIML,"Power Bi, Aiml, SQL Database, Data Analytics, Machine Learning, Business Analytics, Ml Algorithms, SQL"
211,Data Analyst|,"Data Analysis, Power Bi, Data Visualization, Advanced Excel, Tableau, Dashboards, Data Analytics, Bi"
212,Manager Data Analytics,"Data Analytics, Data Science, Advanced Analytics, Data Analysis, Data Visualization, Science, Data management, Management"
213,Pyspark Data Engineer,"snowflake, python, data analysis, data analytics, data management, modeling, pyspark, data warehousing"
214,Data Analyst,"Analytical skills, Excel, SAS, Data collection, Packaging, Data analytics, Data Analyst, SPSS"
215,Requirment For Business Analyst,"Power Bi, Data Analysis, Data Visualization, Data Analytics, SQL, Data Presentation, Advanced Excel, Data Mapping"
216,Data Engineer/Analyst,"python, modeling, data analysis, data analytics, scikit-learn, linear regression, numpy, machine learning"
217,Data Scientists and Programmer,"SAN, Health insurance, tableau, Data modeling, cassandra, Script writing, big data analytics, Machine learning"
218,Data Scientist,"hive, spark, SCALA, Hadoop, Application development, Data analytics, Teradata, SQL"
219,Corporate Auditor- Data Analyst,"PowerBI, SOX 404 Compliance, Data Analytics, Auditing, Python, CPA, CIA, ACCA"
220,Data Engineer,"Data Engineering, Data lakes, quality control, Dynamo DB, AWS services, Cassandra, Redis, MongoDB"
221,Data Scientist,"deep learning, Analytical, Machine learning, Programming, Data collection, Data structures, data visualization, Recruitment"
222,Lead Data Scientist - Machine Learning/Artificial Intelligence,"Data Science, Java, Azure, Strategy Development, Power BI, Artificial Intelligence, Tableau, Machine Learning"
223,Data Scientist,"excel, python, modeling, data modeling, data science, gcp, segmentation, sql"
224,Data Scientist (Pricing),"data bricks, python, data science, data processing, machine learning, pricing, communication skills, sql"
225,Data Scientist,"rest, story writing, data science, predictive modeling, presentation skills, jupyter notebook, relational databases, communication skills"
226,MNC Hiring For Data Scientist(Immediate Joiners Only),"Hadoop, Linux, Data Scientist, Spark, Python, Tensorflow, SciPy, Alteryx"
227,Data Scientist,"Big Data, Data Science, Hadoop, Machine Learning, Science, Machine, Data"
228,Data Scientist,"GenAI, Natural Language Processing, Big Data, Machine Learning, Python, Data Science, Artificial Intelligence, Machine"
229,Immediate opening For Data Scientist,"Pytorch, Data Science, Tensorflow Serving, Microservice, Django, Java, AIML, Python"
230,ICETS _Python AI/ML/ Data Scientist - Q2-FY-25,"artificial intelligence, python, platform architecture, python framework, unix, data management, web services, docker"
231,Data Scientist,"python, model development, data visualization, machine learning algorithms, statistics, snowflake, continuous integration, presentation skills"
232,Data Scientist,"Data Science, predictive modelling, Azure, Scala, Hadoop, machine learning, SQL, R"
233,Data Scientist,"C++, data science, GCP, Analytical, Machine learning, Forecasting, Operations, SQL"
234,Data Scientist,"Computer science, C++, data science, GCP, Analytical, Machine learning, Forecasting, Operations"
235,Data Scientist: Artificial Intelligence,"predictive analytics, machine learning, artificial intelligence, data science, machine learning algorithms, continuous integration, algorithms, python"
236,Urgent requirement For Data scientist @MNC Pune,"Data Science, Machine Learning, Python, R, Naive Bayes, Decision Forests, k-Nearest Neighbors, Statistical Modeling"
237,Data Scientist,"python, supply chain, mathematics, r, statistics, algorithms, data mining, microsoft azure"
238,Data Scientist,"deep learning frameworks, python, forecasting, time series, model development, arima, algorithms, natural language processing"
239,Data Scientist,"Supply chain, Computer science, advanced analytics, Operations research, data science, Analytical, Machine learning, Agile"
240,Data Scientist,"Supply chain, Computer science, advanced analytics, Operations research, data science, Analytical, Machine learning, Agile"
241,Data Scientist,"Data Science, AWS, Tensorflow, Keras, Machine Learning, Deep Learning, Machine, Data"
242,Data Scientist,"Data Science, Pytorch, R, Neural Networks, Random Forests, SVM, Deep Learning, Python"
243,Data Scientist,"Machine Learning, Data Science, Tensorflow, Pyspark, Artificial Intelligence, Natural Language Processing, Neural Networks, Deep Learning"
244,Hiring For Data Scientist - Immediate Joining,"Data Science, Artificial Intelligence, Postgresql, Machine Learning, Power Bi, Bi, Machine, Hiring"
245,Data Scientist,"Data Science, Natural Language Processing, gen AI, Machine Learning, Python, Machine, Process, Artificial Intelligence"
246,Data Scientist,"Machine Learning, Data Science, Predictive Modeling, R, Scala, Natural Language Processing, Python, SQL"
247,Machine Learning / Data Scientist,"Machine Learning, Data Science, Python coding, Hive, Docker, Snowflake, AWS Sagemaker, AWS Cloud"
248,Data Scientist - Generative AI,"Data Science, Generative AI, Machine Learning, Python, Gen AI, Data Scientist, Deep Learning, Machine"
